id,quiz_id,question_id,question,options,correct_answer,explanation,order_index,created_at
3f31c8c3-0108-49ee-974b-08688d32bcf3,quran,q040,Which Surah is recited on Fridays?,"[""Al-Kahf"", ""Al-Fatiha"", ""Ya Sin"", ""Al-Mulk""]",0,"It is recommended to recite Surah Al-Kahf on Fridays, as it brings blessings and light between the two Fridays.",40,2026-01-11 08:39:16.776638+00
45ba18f2-b6f0-4a0d-ba74-9e7de8e1fad3,quran,q029,"What does ""Al-Hamd"" mean?","[""Gratitude"", ""All praise"", ""Thanks"", ""Blessing""]",1,"""Al-Hamdu Lillah"" means ""All praise is due to Allah,"" expressing gratitude and recognition of Allah's blessings.",29,2026-01-11 08:39:16.776638+00
47255d98-a04b-4d67-ae7b-798dbbb5c14d,quran,q14,"What does ""Quran"" mean?","[""The Book"", ""The Recitation"", ""The Guidance"", ""The Light""]",1,"Quran means ""The Recitation"" in Arabic.",14,2025-12-01 04:41:33.819206+00
487f5206-3fa8-4ac3-967c-f408341d4dc2,quran,q25,Which Surah mentions both the beginning and end of creation?,"[""Al-Hajj"", ""Yaseen"", ""Al-Waqiah"", ""Al-Qiyamah""]",0,Surah Al-Hajj discusses both creation and resurrection.,25,2025-12-01 04:42:04.645656+00
4886352e-3ece-4370-86cf-7aafc3426925,quran,q024,What is the main theme of Surah Al-Asr?,"[""Time and humanity"", ""Patience"", ""Gratitude"", ""Worship""]",0,"Surah Al-Asr (Chapter 103) emphasizes that humanity is in loss except those who have faith, do good, and advise one another to truth and patience.",24,2026-01-11 08:39:16.776638+00
4cd63a19-24c2-4e8f-b386-00e6a9f47c23,quran,q013,How many Juz (parts) is the Quran divided into?,"[""20"", ""25"", ""30"", ""35""]",2,"The Quran is divided into 30 Juz (parts) to facilitate recitation over a month, especially during Ramadan.",13,2026-01-11 08:39:16.776638+00
4dc8b5c7-023b-4b67-9dfd-45a23f2425cc,quran,q32,"How many times is the word ""Nar"" (Fire) mentioned?","[""126"", ""145"", ""147"", ""150""]",1,The word Nar (Fire/Hell) is mentioned 145 times.,32,2025-12-01 04:42:04.645656+00
4fdb2c6d-7e8b-408d-ab4f-c51c911a81ae,quran,q6,How many verses are in the Quran?,"[""6,236"", ""6,666"", ""7,000"", ""5,555""]",0,"The Quran contains approximately 6,236 verses.",6,2025-12-01 04:41:33.819206+00
51e4ee60-c8c9-462b-9817-df0c94dc5c78,quran,q012,Which Surah is named after a woman?,"[""Maryam"", ""Aali Imran"", ""Al-Nisa"", ""Al-Mumtahanah""]",0,"Surah Maryam (Chapter 19) is named after Mary, the mother of Jesus (peace be upon them both).",12,2026-01-11 08:39:16.776638+00
5473e748-908f-4c2f-966f-1e7f5c5f4349,quran,q037,"How many times is the word ""Allah"" mentioned in the Quran?","[""About 2,500 times"", ""About 2,700 times"", ""About 3,000 times"", ""Exactly 2,698 times""]",1,"The name ""Allah"" appears approximately 2,700 times in the Quran, making it the most frequently mentioned word.",37,2026-01-11 08:39:16.776638+00
5a2a3035-a3aa-49e4-9a60-b83b1c970d3c,quran,q018,What are the first and last words revealed in the Quran?,"[""\""Read\"" and \""Today\"""", ""\""Bismillah\"" and \""Inna\"""", ""\""Iqra\"" and \""Al-Nasr\"""", ""\""Alif\"" and \""Nas\""""]",0,"The first word was ""Iqra"" (Read) from Surah Al-Alaq, and among the last was ""Al-Yawm"" (Today) from Surah Al-Maidah.",18,2026-01-11 08:39:16.776638+00
5ae5c858-3eac-480c-ac76-19744abf6b55,quran,q052,"Which Surah is known as ""The Event"" or ""The Inevitable""?","[""Al-Waqi'ah"", ""Al-Qiyamah"", ""Al-Naba"", ""Al-Haqqah""]",0,"Surah Al-Waqi'ah (Chapter 56) is called ""The Event"" and describes the Day of Judgment and its three groups of people.",52,2026-01-11 08:39:16.776638+00
5f41a2d6-f7ec-43b5-b436-ff46189844b8,quran,q40,How many Surahs are named after prophets?,"[""5"", ""6"", ""7"", ""8""]",1,Six Surahs are named after prophets.,40,2025-12-01 04:42:04.645656+00
609a2f51-4923-4f03-a89f-45b0b5de3bb4,quran,q030,Which Surah is recited for protection from evil eye?,"[""Al-Fatiha"", ""Al-Ikhlas, Al-Falaq, Al-Nas"", ""Ya Sin"", ""Al-Mulk""]",1,"The last three Surahs (Al-Ikhlas, Al-Falaq, Al-Nas) are recited together for protection, including from the evil eye.",30,2026-01-11 08:39:16.776638+00
6422d35c-7730-439d-859b-42546da5ff3d,quran,q8,What is the shortest Surah in the Quran?,"[""Al-Asr"", ""Al-Kawthar"", ""Al-Ikhlas"", ""An-Nasr""]",1,Surah Al-Kawthar is the shortest with only 3 verses.,8,2025-12-01 04:41:33.819206+00
6547214a-e70f-4021-b79b-bca511fa86c5,quran,q11,In which language was the Quran revealed?,"[""Hebrew"", ""Aramaic"", ""Arabic"", ""Persian""]",2,The Quran was revealed in Arabic.,11,2025-12-01 04:41:33.819206+00
6b473943-2900-4131-9ff0-ce60337f96a5,quran,q17,Which Surah is recommended to recite on Friday?,"[""Al-Mulk"", ""Al-Kahf"", ""Yaseen"", ""Ar-Rahman""]",1,It is recommended to recite Surah Al-Kahf on Fridays.,17,2025-12-01 04:41:33.819206+00
6c3e4625-135a-4f13-82b0-282392f92174,quran,q3,Which Surah is known as the heart of the Quran?,"[""Al-Fatiha"", ""Yaseen"", ""Al-Mulk"", ""Ar-Rahman""]",1,Surah Yaseen is often referred to as the heart of the Quran.,3,2025-12-01 04:41:33.819206+00
6dc18404-9fe6-4d40-ad30-72df5036467e,quran,q019,Which Surah contains Ayat al-Kursi (Verse of the Throne)?,"[""Al-Fatiha"", ""Al-Baqarah"", ""Aali Imran"", ""Al-Nisa""]",1,Ayat al-Kursi (2:255) is in Surah Al-Baqarah and describes the greatness and power of Allah.,19,2026-01-11 08:39:16.776638+00
6e6fc163-35a7-472b-8f17-ac7ef2c2638f,quran,q2,What is the longest Surah in the Quran?,"[""Al-Fatiha"", ""Al-Baqarah"", ""Yaseen"", ""Al-Kahf""]",1,Surah Al-Baqarah is the longest Surah with 286 verses.,2,2025-12-01 04:41:33.819206+00
75d66e16-58db-4635-a43d-435051e65fe5,quran,q049,What is the theme of Surah Al-Ma'un?,"[""Small kindnesses"", ""Prayer and charity"", ""Hypocrisy in worship"", ""All of the above""]",3,"Surah Al-Ma'un (Chapter 107) warns against hypocrisy, showing off in prayer, and refusing small acts of kindness.",49,2026-01-11 08:39:16.776638+00
78f1777f-be68-4059-81ac-f926fb02eb9e,quran,q31,Which Surah is named after a woman?,"[""Maryam"", ""Fatimah"", ""Aisha"", ""Khadijah""]",0,"Surah Maryam is named after Mary, mother of Jesus.",31,2025-12-01 04:42:04.645656+00
7d35971c-75f6-487b-be76-9c404efd0957,quran,q044,"Which Surah is known as ""The Prophets""?","[""Al-Anbiya"", ""Al-A'raf"", ""Al-An'am"", ""Al-Mulk""]",0,"Surah Al-Anbiya (Chapter 21) is called ""The Prophets"" and mentions many prophets and their stories.",44,2026-01-11 08:39:16.776638+00
7f9a4cdb-5458-4170-bc65-4293f9a9f3cf,quran,q30,What is the longest verse in the Quran?,"[""Ayat al-Kursi"", ""Ayat al-Dayn"", ""First verse of Al-Baqarah"", ""Last verse of At-Tawbah""]",1,Ayat al-Dayn (verse of debt) in Al-Baqarah 2:282 is the longest verse.,30,2025-12-01 04:42:04.645656+00
804e1773-0b0f-4f2b-81c3-5ce7efc1af18,quran,q24,How many Sajdah verses are in the Quran?,"[""10"", ""14"", ""15"", ""20""]",1,There are 14 or 15 Sajdah verses depending on the school of thought.,24,2025-12-01 04:42:04.645656+00
81ac6322-8b95-4df3-9d3b-b2381a9f8c77,quran,q18,What is the last Surah revealed?,"[""An-Nasr"", ""Al-Asr"", ""Al-Ikhlas"", ""Al-Falaq""]",0,Surah An-Nasr was the last complete Surah revealed.,18,2025-12-01 04:41:33.819206+00
854e6441-e379-4563-87f2-4bebead2171d,quran,q011,"What does ""Al-Quran"" mean?","[""The Book"", ""The Recitation"", ""The Guidance"", ""The Light""]",1,"Al-Quran means ""The Recitation"" or ""That which is recited,"" emphasizing its oral transmission and recitation.",11,2026-01-11 08:39:16.776638+00
86d3683a-a16d-4fd7-b20a-e05cba7344f3,quran,q020,How many Makkan and Madinan Surahs are there?,"[""86 Makkan, 28 Madinan"", ""90 Makkan, 24 Madinan"", ""88 Makkan, 26 Madinan"", ""85 Makkan, 29 Madinan""]",0,86 Surahs were revealed in Makkah (before migration) and 28 in Madinah (after migration).,20,2026-01-11 08:39:16.776638+00
0050692a-f632-4d0f-8e0e-71a7fbda4a83,seerah,s25,How old was the Prophet ﷺ when he married Khadijah?,"[""20"", ""25"", ""30"", ""35""]",1,The Prophet ﷺ was 25 years old when he married Khadijah.,25,2025-12-01 04:42:40.704465+00
00bdf9fe-e1aa-42f2-ba73-ed66135d7ce8,seerah,q031,In which place did the Prophet deliver his Farewell Sermon?,"[""Mount Arafat"", ""Mount Uhud"", ""Kaaba"", ""Masjid al-Nabawi""]",0,The Prophet delivered his Farewell Sermon (Khutbah al-Wada') on Mount Arafat during his final Hajj in 632 CE.,31,2026-01-11 08:39:16.776638+00
028f2b90-dba8-49de-83b3-889d7ac7a856,seerah,q042,What was the name of the Prophet's she-camel on the Night Journey?,"[""Al-Qaswa"", ""Al-Buraq"", ""Al-Adha"", ""Al-Naqa""]",1,Al-Buraq was the celestial steed that carried the Prophet from Mecca to Jerusalem during the Isra (Night Journey).,42,2026-01-11 08:39:16.776638+00
04464a0f-be67-4dac-9a8f-a4a794210a6f,seerah,q001,In which year was Prophet Muhammad (peace be upon him) born?,"[""570 CE"", ""571 CE"", ""572 CE"", ""569 CE""]",0,"Prophet Muhammad (peace be upon him) was born in the Year of the Elephant, corresponding to 570 CE in Mecca.",1,2026-01-11 08:39:16.776638+00
0472dfe8-0b0f-4230-8c44-43cecc5b55f2,seerah,q022,What was the name of the document that established the first Islamic state in Madinah?,"[""Constitution of Madinah"", ""Treaty of Madinah"", ""Charter of Madinah"", ""All of the above""]",3,"The Constitution of Madinah (also called the Charter or Treaty) established rights and responsibilities for all citizens, Muslims and non-Muslims alike.",22,2026-01-11 08:39:16.776638+00
072933fa-1620-4679-9927-34f0933edda4,seerah,q008,How many years did the Prophet (peace be upon him) preach Islam in Mecca before Hijrah?,"[""10 years"", ""13 years"", ""15 years"", ""12 years""]",1,"The Prophet preached Islam in Mecca for 13 years before migrating to Madinah, where he spent the remaining 10 years of his life.",8,2026-01-11 08:39:16.776638+00
07bafa7e-7415-40fd-93fd-96d8485da89d,seerah,s6,What was the Prophet's ﷺ father's name?,"[""Abdullah"", ""Abu Talib"", ""Abdul Muttalib"", ""Abu Lahab""]",0,The Prophet's father was Abdullah ibn Abdul Muttalib.,6,2025-12-01 04:42:40.704465+00
09cab634-31ce-45f9-a84e-016e9fe2c8b6,seerah,q009,What was the name of Prophet Muhammad's (peace be upon him) wet nurse?,"[""Halimah"", ""Aminah"", ""Khadijah"", ""Umm Ayman""]",0,Halimah al-Sa'diyyah was the Prophet's wet nurse. He spent his early childhood with her and her family in the desert.,9,2026-01-11 08:39:16.776638+00
0b139da7-4647-4235-8c21-3591e89514c8,seerah,s12,What year did the Hijrah occur?,"[""610 CE"", ""622 CE"", ""630 CE"", ""632 CE""]",1,The Hijrah occurred in 622 CE.,12,2025-12-01 04:42:40.704465+00
0e409967-881d-4ccd-b50b-3f03d6b400d5,seerah,q036,What was the name of the first person to publicly declare Islam in Mecca?,"[""Abu Bakr"", ""Hamzah"", ""Umar"", ""Ammar ibn Yasir""]",0,Abu Bakr was among the first to accept Islam and was known for publicly declaring his faith despite persecution.,36,2026-01-11 08:39:16.776638+00
0e507a03-a763-4fc4-ba50-87fb37a8ed9a,seerah,q025,"Which companion was known as ""The Sword of Allah""?","[""Khalid ibn al-Walid"", ""Sa'd ibn Abi Waqqas"", ""Abu Ubaydah"", ""Amr ibn al-As""]",0,"Khalid ibn al-Walid (may Allah be pleased with him) was given the title ""Saifullah"" (Sword of Allah) for his exceptional military leadership.",25,2026-01-11 08:39:16.776638+00
1642441f-3307-4231-85a4-75402fcc2c6f,seerah,q035,How many times did the Prophet perform Hajj?,"[""Once"", ""Twice"", ""Three times"", ""Four times""]",0,"Prophet Muhammad (peace be upon him) performed Hajj only once, in 632 CE, which was his Farewell Hajj.",35,2026-01-11 08:39:16.776638+00
17f536c4-b82c-4dc2-8dd2-97767d810abe,seerah,s13,How many children did the Prophet ﷺ have?,"[""5"", ""6"", ""7"", ""8""]",2,The Prophet ﷺ had 7 children: 3 sons and 4 daughters.,13,2025-12-01 04:42:40.704465+00
1b9b1656-52cd-4882-9332-32336d0a8ac7,seerah,s17,What was the name of the Prophet's ﷺ horse?,"[""Buraq"", ""Sakb"", ""Qaswa"", ""Duldul""]",1,The Prophet's horse was named Sakb.,17,2025-12-01 04:42:40.704465+00
1c9a6d16-ccc5-4b87-a1cd-b166353a0dcb,seerah,q007,What was the name of the cave where the first revelation came?,"[""Cave of Thawr"", ""Cave of Hira"", ""Cave of Uhud"", ""Cave of Badr""]",1,The Cave of Hira (also called Jabal al-Nur) on Mount Hira near Mecca is where the first revelation came to the Prophet.,7,2026-01-11 08:39:16.776638+00
1ccb5b2c-47cc-4733-825f-1f93c9c4645f,seerah,q017,How many years did Prophet Muhammad (peace be upon him) spend in Madinah?,"[""8 years"", ""10 years"", ""12 years"", ""13 years""]",1,"Prophet Muhammad (peace be upon him) spent 10 years in Madinah after the Hijrah, from 622 CE until his passing in 632 CE.",17,2026-01-11 08:39:16.776638+00
2afa6c28-d0ed-44cb-997a-1fc7a549f9a4,seerah,s1,In which city was Prophet Muhammad ﷺ born?,"[""Madinah"", ""Makkah"", ""Taif"", ""Jerusalem""]",1,Prophet Muhammad ﷺ was born in Makkah in 570 CE.,1,2025-12-01 04:42:40.704465+00
2e41015f-cd78-4cf9-8b75-3a66ba43a98d,seerah,q005,"Which year is known as the ""Year of Sorrow""?","[""619 CE"", ""620 CE"", ""621 CE"", ""622 CE""]",0,"619 CE is called the ""Year of Sorrow"" because both Khadijah (the Prophet's wife) and Abu Talib (his uncle and protector) passed away.",5,2026-01-11 08:39:16.776638+00
2e93e23b-35fe-4b8f-b411-a1f6527c5712,seerah,q033,Who was the Prophet's grandfather who raised him?,"[""Abdullah"", ""Abu Talib"", ""Abdul-Muttalib"", ""Hashim""]",2,"Abdul-Muttalib, the Prophet's grandfather, took care of him after his mother's death until he passed away when the Prophet was 8.",33,2026-01-11 08:39:16.776638+00
30570d38-125b-41eb-b3e4-cf0582ef858b,seerah,q019,Who was the first person to give Adhan (call to prayer)?,"[""Bilal ibn Rabah"", ""Umar ibn al-Khattab"", ""Abu Bakr"", ""Abu Dharr""]",0,"Bilal ibn Rabah (may Allah be pleased with him) was the first muezzin (caller to prayer) in Islam, known for his beautiful voice.",19,2026-01-11 08:39:16.776638+00
36df80f2-6f99-40df-a595-a7170e94f8c0,seerah,s3,How old was the Prophet ﷺ when he received the first revelation?,"[""30"", ""35"", ""40"", ""45""]",2,Prophet Muhammad ﷺ was 40 years old when he received the first revelation.,3,2025-12-01 04:42:40.704465+00
3a2702d4-cce0-4f4e-a949-c187a7f5d378,seerah,s18,Who was the Prophet's ﷺ closest companion?,"[""Umar"", ""Uthman"", ""Abu Bakr"", ""Ali""]",2,Abu Bakr was the Prophet's closest companion.,18,2025-12-01 04:42:40.704465+00
3c671530-2b93-48c9-b7e9-5f181cd668c3,seerah,s11,How many years did the Prophet ﷺ preach in Makkah?,"[""10"", ""13"", ""15"", ""20""]",1,The Prophet ﷺ preached in Makkah for 13 years.,11,2025-12-01 04:42:40.704465+00
3cdf069e-440a-4ce1-8635-162ccaba20fc,seerah,q027,Who was the last person to see the Prophet (peace be upon him) before his passing?,"[""Aishah"", ""Abu Bakr"", ""Umar"", ""Ali""]",0,"Aishah (may Allah be pleased with her), the Prophet's wife, was the last person to see him before his passing, as he passed away in her room.",27,2026-01-11 08:39:16.776638+00
42caba39-b4f7-48b8-b0b1-a30f918e621b,seerah,q016,What was the name of the mountain where the Prophet and Abu Bakr took refuge during Hijrah?,"[""Mount Hira"", ""Mount Uhud"", ""Mount Thawr"", ""Mount Arafat""]",2,"Mount Thawr is where the Prophet and Abu Bakr took refuge for three days during their migration to Madinah, with a spider's web and pigeons protecting them.",16,2026-01-11 08:39:16.776638+00
44d2373f-41a6-4627-ad53-cf37772cc5df,seerah,q044,What was the name of the first mosque where the Prophet led Friday prayer in Madinah?,"[""Masjid Quba"", ""Masjid al-Nabawi"", ""Masjid Qiblatayn"", ""Masjid al-Noor""]",1,Masjid al-Nabawi (The Prophet's Mosque) was where the first Friday prayer in Madinah was led by the Prophet.,44,2026-01-11 08:39:16.776638+00
47e076f3-215a-405e-b039-0ba659bd4e63,seerah,s7,Who was the Prophet's ﷺ wet nurse?,"[""Aminah"", ""Halimah"", ""Fatimah"", ""Khadijah""]",1,Halimah al-Sadiyyah was the Prophet's wet nurse.,7,2025-12-01 04:42:40.704465+00
483211b5-4d3a-4861-99ab-18dd6545fba1,seerah,q047,Who was the first person to compile the Quran into a book?,"[""Abu Bakr"", ""Umar"", ""Uthman"", ""Zayd ibn Thabit""]",0,"Under Abu Bakr's caliphate, Zayd ibn Thabit compiled the Quran into a single book (Mushaf) after many memorizers were martyred.",47,2026-01-11 08:39:16.776638+00
4bf9495e-6dc9-4609-ad09-e1f544942a81,seerah,q003,Who was the first person to accept Islam?,"[""Abu Bakr"", ""Khadijah"", ""Ali"", ""Zayd""]",1,"Khadijah (may Allah be pleased with her), the Prophet's wife, was the first person to accept Islam and believe in his prophethood.",3,2026-01-11 08:39:16.776638+00
4ca3ce65-3cdf-43e6-acbb-9806c4bbf7fa,seerah,s27,Who was the Prophet's uncle who protected him?,"[""Abu Lahab"", ""Abu Talib"", ""Abbas"", ""Hamza""]",1,Abu Talib was the uncle who protected the Prophet ﷺ.,27,2025-12-01 04:42:40.704465+00
5343af4b-3037-4d8b-80b8-550d82dba7a9,seerah,q038,What was the name of the event where the Prophet was taken to Jerusalem and then to the heavens?,"[""Hijrah"", ""Mi'raj"", ""Isra"", ""Isra and Mi'raj""]",3,Isra and Mi'raj (Night Journey and Ascension) was when the Prophet was taken from Mecca to Jerusalem (Isra) and then to the heavens (Mi'raj).,38,2026-01-11 08:39:16.776638+00
5cccee80-f3bc-4b8f-b388-5d3f859d23e1,seerah,q046,What was the name of the year when Muslims were boycotted by the Quraysh?,"[""Year of Sorrow"", ""Year of Boycott"", ""Year of the Elephant"", ""Year of Grief""]",1,"The ""Year of Boycott"" (617-619 CE) refers to the economic and social boycott imposed on the Prophet's clan by the Quraysh.",46,2026-01-11 08:39:16.776638+00
5dcee147-008d-4568-8706-b9af9829fc92,seerah,q015,In which year did the Conquest of Mecca take place?,"[""628 CE"", ""629 CE"", ""630 CE"", ""631 CE""]",2,"The Conquest of Mecca took place in 630 CE (8 AH), when Muslims peacefully entered Mecca and removed the idols from the Kaaba.",15,2026-01-11 08:39:16.776638+00
5f79a483-f4fd-44f0-a672-95a0b5877daf,seerah,s28,What was the name of the Prophet's daughter who married Ali?,"[""Zainab"", ""Ruqayyah"", ""Umm Kulthum"", ""Fatimah""]",3,Fatimah married Ali ibn Abi Talib.,28,2025-12-01 04:42:40.704465+00
68b31c02-b455-4f85-86a5-e4512d661bbc,seerah,q023,How old was Prophet Muhammad (peace be upon him) when he passed away?,"[""60 years"", ""61 years"", ""62 years"", ""63 years""]",3,Prophet Muhammad (peace be upon him) passed away at the age of 63 in 632 CE (11 AH) in Madinah.,23,2026-01-11 08:39:16.776638+00
6a187265-cd77-4926-82cb-1f75660ee6d6,seerah,q032,What was the name of the Prophet's father?,"[""Abdullah"", ""Abu Talib"", ""Abdul-Muttalib"", ""Hashim""]",0,"The Prophet's father was Abdullah ibn Abdul-Muttalib, who passed away before the Prophet was born.",32,2026-01-11 08:39:16.776638+00
6a330ecd-4222-4dca-b0cd-3566883b8aef,seerah,q024,What was the name of the Prophet's she-camel?,"[""Al-Qaswa"", ""Al-Adha"", ""Al-Buraq"", ""Al-Naqa""]",0,Al-Qaswa was the name of the Prophet's she-camel that he rode during the Hijrah and other journeys.,24,2026-01-11 08:39:16.776638+00
6bea8839-441c-4935-80ce-c9b31e98fb98,seerah,s8,At what age did the Prophet ﷺ lose his mother?,"[""4"", ""6"", ""8"", ""10""]",1,The Prophet ﷺ was 6 years old when his mother Aminah passed away.,8,2025-12-01 04:42:40.704465+00
6cf22ba8-28f8-4818-b34b-5f5efffb5223,seerah,s2,What was the Prophet's ﷺ occupation before prophethood?,"[""Farmer"", ""Merchant"", ""Teacher"", ""Soldier""]",1,The Prophet ﷺ was known as a trustworthy merchant.,2,2025-12-01 04:42:40.704465+00
6f2c0a7b-4243-402e-b707-71741759ec1a,seerah,q018,What was the first mosque built in Islam?,"[""Al-Masjid al-Haram"", ""Masjid al-Nabawi"", ""Masjid Quba"", ""Masjid al-Aqsa""]",2,"Masjid Quba was the first mosque built in Islam, constructed by the Prophet upon his arrival in Madinah during the Hijrah.",18,2026-01-11 08:39:16.776638+00
